price,year_model,mileage,fuel_type,mark,model,fiscal_power,city
22410.0,2001.0,324999.5,Diesel,Volkswagen,GOLF 4,, Kénitra
39150.0,2018.0,2499.5,Diesel,Renault,Cli,6.0, Marrakech
33750.0,2006.0,164999.5,Diesel,cedes-Benz,220,8.0, Casablanca
16200.000000000002,1991.0,274999.5,Diesel,cedes-Benz,190,10.0, Tanger
41850.0,2015.0,82499.5,Diesel,Volvo,S60,6.0, Casablanca
15390.000000000002,2008.0,224999.5,Diesel,Daci,Logan,, Béni Mellal
85050.0,2013.0,67499.5,Diesel,cedes-Benz,220,, Tanger
4590.0,1984.0,7499.5,Diesel,Fiat,Un,6.0, Rabat
31860.000000000004,2013.0,114999.5,Diesel,Peugeot,508,, Marrakech
8640.0,1998.0,12499.5,Ess,Fiat,Pali,6.0, Marrakech
20250.0,2009.0,164999.5,Diesel,Opel,Corsa,, Rabat
26460.0,2007.0,224999.5,Diesel,Volkswagen,GOLF 5,8.0, Settat
23490.0,2010.0,97499.5,Diesel,Peugeot,Tep,6.0, Laâyoune
8370.0,1990.0,274999.5,Diesel,Renault,R19,, Béni Mellal
39690.0,2016.0,32499.5,Diesel,Renault,Captur,6.0, Fès
19710.0,2005.0,12499.5,Diesel,cedes-Benz,Classe E,, Casablanca
7020.000000000001,1996.0,22499.5,Ess,Fiat,Un,5.0, Casablanca
21060.0,2013.0,144999.5,Diesel,Fiat,Punt,, Nouaceur
27540.0,2015.0,77499.5,Diesel,Peugeot,208,6.0, Marrakech
19710.0,2012.0,72499.5,Ess,Citroen,C3,6.0, Fès
16470.0,2005.0,134999.5,Ess,Toyot,Corolla,, Rabat
8100.000000000001,1999.0,22499.5,Ess,Fiat,Pali,6.0, Casablanca
25380.0,2011.0,174999.5,Diesel,Alfa Romeo,it,, Rabat
8100.000000000001,2006.0,32499.5,Ess,Renault,19,, Meknès
12960.0,2006.0,164999.5,Diesel,Ssangyong,Rexton,11.0, Oujda
9450.0,1991.0,134999.5,Diesel,Peugeot,309,, Agadir
10800.0,2007.0,37499.5,Ess,Daci,Logan,8.0, Salé
68310.0,2012.0,104999.5,Diesel,Jag,XF,9.0, Meknès
14850.000000000002,2007.0,194999.5,Diesel,Ssangyong,Rexton,11.0, Rabat
10800.0,2009.0,22499.5,Ess,Peugeot,206,8.0, Oujda
94500.0,2016.0,62499.5,Diesel,Land Rov,Range Rover Evoqu,8.0, Casablanca
126900.00000000001,2018.0,2499.5,Diesel,Toyot,Land Cruiser,10.0, Casablanca
9450.0,1996.0,2499.5,Diesel,cedes-Benz,Classe E,12.0, Salé
24300.0,2017.0,32499.5,Diesel,Fiat,Punt,, Casablanca
13230.0,2006.0,57499.5,Ess,Peugeot,206,6.0, Salé
12690.0,2006.0,164999.5,Ess,Peugeot,407,, Fès
19710.0,2011.0,224999.5,Diesel,Renault,Kang,6.0, Casablanca
14310.000000000002,2008.0,194999.5,Ess,Ford,Fiesta,7.0, Marrakech
21600.0,2009.0,224999.5,Diesel,Renault,gan,6.0, Casablanca
10800.0,2002.0,7499.5,Ess,BMW,3,, Casablanca
14040.000000000002,2007.0,164999.5,Diesel,Daci,Logan,7.0, Rabat
55350.00000000001,2012.0,174999.5,Diesel,BMW,Serie 3,, El Jadida
48330.0,2009.0,144999.5,Diesel,cedes-Benz,Classe E,9.0, Rabat
14040.000000000002,2008.0,32499.5,Ess,Ki,Picant,, Tanger
10800.0,1989.0,324999.5,Diesel,Renault,19,7.0, El Hajeb
36450.0,2015.0,62499.5,Diesel,Ki,C',7.0, Casablanca
13500.0,2000.0,17499.5,Diesel,Renault,Cli,, Tanger
62100.00000000001,2014.0,164999.5,Diesel,Volkswagen,Touran,8.0, Rabat
41310.0,2018.0,154999.5,Diesel,Volkswagen,P,, Fès
14580.000000000002,2008.0,82499.5,Ess,Daihats,Sirion,6.0, Kénitra
24300.0,2013.0,62499.5,Diesel,Renault,Kang,6.0, Casablanca
